Issuance Date,Sustainable Development Goals,Credit Type,Vintage Start,Vintage End,Reporting Period Start,Reporting Period End,ID,Name,Region,Country,Project Type,Methodology,Vintage Quantity,Quantity,Serial Number,Additional Certifications,Is Cancelled,Retirement/Cancellation Date,Retirement Beneficiary,Retirement Reason,Retirement Details,Input Type,Holding ID,Vintage,Issuance Year,Days to Retirement,Staleness,Status,Toucan,Toucan Bridger,Toucan Blacklisted,Country Code,Vintaged Batch Years,has_ac,technology,category
2021-08-04,,VCU,2014-01-01,2014-12-31,2014-01-01,2014-12-31,614,"Chemical Recovery Project at Satia Industries Ltd. (SIL), formerly known as Satia Paper Mills Limited Village Rupana, Punjab",Asia,India,Chemical industry,AMS-III.M.,21448,21448,10959-259749572-259771019-VCS-VCU-291-VER-IN-5-614-01012014-31122014-0,,True,2021-10-16,0xAf529400FF068AFbdc907c699B9184a4381481B0,Other,TOUCAN-1.0-137-0xc8f01fb774302b6cf8065ad50e6ab25121ce8a55a1ec856378ba509345661e98-134,,139517,2014,2021,73.0,,Retired,True,https://polygonscan.com/address/0xAf529400FF068AFbdc907c699B9184a4381481B0,False,IND,0.9972602739726028,False,EE GAS,EE
2021-08-04,,VCU,2015-01-01,2015-12-31,2015-01-01,2015-12-31,614,"Chemical Recovery Project at Satia Industries Ltd. (SIL), formerly known as Satia Paper Mills Limited Village Rupana, Punjab",Asia,India,Chemical industry,AMS-III.M.,20002,12677,10960-259771020-259783696-VCS-VCU-291-VER-IN-5-614-01012015-31122015-0,,True,2021-10-18,0xB208E3Dcc8e2b091fa4b9Aa65D528FDfDc8bfA93,Other,TOUCAN-1.0-137-0x81c315370ce5f2751849a28cfe75311a42f0a2f57f3e48888378be0f7d30059b-225,,139518,2015,2021,75.0,,Retired,True,https://polygonscan.com/address/0xB208E3Dcc8e2b091fa4b9Aa65D528FDfDc8bfA93,False,IND,0.9972602739726028,False,EE GAS,EE
2021-08-04,,VCU,2015-01-01,2015-12-31,2015-01-01,2015-12-31,614,"Chemical Recovery Project at Satia Industries Ltd. (SIL), formerly known as Satia Paper Mills Limited Village Rupana, Punjab",Asia,India,Chemical industry,AMS-III.M.,20002,7325,10960-259783697-259791021-VCS-VCU-291-VER-IN-5-614-01012015-31122015-0,,True,2021-10-19,0xB208E3Dcc8e2b091fa4b9Aa65D528FDfDc8bfA93,Other,TOUCAN-1.0-137-0x991ad0b1d77a86ab0a49a624e41015ec9a7b54f33135937ef6db214d27e1fe4e-306,,147466,2015,2021,76.0,,Retired,True,https://polygonscan.com/address/0xB208E3Dcc8e2b091fa4b9Aa65D528FDfDc8bfA93,False,IND,0.9972602739726028,False,EE GAS,EE
2021-08-04,,VCU,2016-01-01,2016-03-27,2016-01-01,2016-03-27,614,"Chemical Recovery Project at Satia Industries Ltd. (SIL), formerly known as Satia Paper Mills Limited Village Rupana, Punjab",Asia,India,Chemical industry,AMS-III.M.,5291,3772,10961-259791022-259794793-VCS-VCU-291-VER-IN-5-614-01012016-27032016-0,,True,2021-10-19,0xb208e3dcc8e2b091fa4b9aa65d528fdfdc8bfa93,Other,TOUCAN-1.0-137-0xa6821bb048b201661a688bb26925360dc2b0acc1853821774b3d7f02007a6619-307,,139519,2016,2021,76.0,,Retired,True,https://polygonscan.com/address/0xb208e3dcc8e2b091fa4b9aa65d528fdfdc8bfa93,False,IND,0.2356164383561644,False,EE GAS,EE
2021-08-04,,VCU,2016-01-01,2016-03-27,2016-01-01,2016-03-27,614,"Chemical Recovery Project at Satia Industries Ltd. (SIL), formerly known as Satia Paper Mills Limited Village Rupana, Punjab",Asia,India,Chemical industry,AMS-III.M.,5291,1519,10961-259794794-259796312-VCS-VCU-291-VER-IN-5-614-01012016-27032016-0,,True,2021-10-16,0xAf529400FF068AFbdc907c699B9184a4381481B0,Other,TOUCAN-1.0-137-0x1703ce71145cd927dbcc44b72fec14f3aea2721187b1c105f9a04f4b73f3d013-132,,148664,2016,2021,73.0,,Retired,True,https://polygonscan.com/address/0xAf529400FF068AFbdc907c699B9184a4381481B0,False,IND,0.2356164383561644,False,EE GAS,EE
2021-08-03,,VCU,2007-07-19,2010-07-18,2007-07-19,2010-07-18,832,Cikel Brazilian Amazon REDD APD Project   Avoiding Planned Deforestation,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,3284853,1,10946-258159197-258159197-VCS-VCU-261-VER-BR-14-832-19072007-18072010-0,,True,2021-11-16,0x20494f58F26A0B0D93d4d42D7423DAd10C7F7b27,Other,TOUCAN-1.0-137-0x1281c88bdd1d9d374b7caf945ed5bab5b1e7056c3b31e44767aa39d878639144-687,,150500,2007,2021,105.0,,Retired,True,https://polygonscan.com/address/0x20494f58F26A0B0D93d4d42D7423DAd10C7F7b27,False,BRA,3.0,False,REDD+,REDD+
2021-08-03,,VCU,2007-07-19,2010-07-18,2007-07-19,2010-07-18,832,Cikel Brazilian Amazon REDD APD Project   Avoiding Planned Deforestation,Latin America,Brazil,Agriculture Forestry and Other Land Use,VM0007,3284853,1,10946-258159198-258159198-VCS-VCU-261-VER-BR-14-832-19072007-18072010-0,,True,2022-02-02,0x20494f58F26A0B0D93d4d42D7423DAd10C7F7b27,Other,TOUCAN-1.0-137-0x5491a70e3e129cc022ec7443d4420717070e5811e18dea49fa73defae96c361d-1032,,151858,2007,2021,183.0,,Retired,True,https://polygonscan.com/address/0x20494f58F26A0B0D93d4d42D7423DAd10C7F7b27,False,BRA,3.0,False,REDD+,REDD+
2021-08-03,,VCU,2016-01-01,2016-12-31,2016-01-01,2016-12-31,1427,Adiguzel II Hydroelectric Power Plant,Middle East,Turkey,Energy industries (renewable/non-renewable sources),ACM0002,41083,41083,10947-259334540-259375622-VCS-VCU-262-VER-TR-1-1427-01012016-31122016-0,,True,2021-10-18,0x00000016F127c94A667Ae3C9fDF0C31c9C79826f,Other,TOUCAN-1.0-137-0xe48ad3e608097b331029b2d096507a1949cd63be78599529c421c805c185274f-157,,139435,2016,2021,76.0,,Retired,True,https://polygonscan.com/address/0x00000016F127c94A667Ae3C9fDF0C31c9C79826f,False,TUR,1.0,False,HYDRO,HYDRO
2021-08-03,,VCU,2015-01-24,2015-12-31,2015-01-24,2015-12-31,1427,Adiguzel II Hydroelectric Power Plant,Middle East,Turkey,Energy industries (renewable/non-renewable sources),ACM0002,31208,31208,10948-259375623-259406830-VCS-VCU-262-VER-TR-1-1427-24012015-31122015-0,,True,2021-10-18,0x00000016F127c94A667Ae3C9fDF0C31c9C79826f,Other,TOUCAN-1.0-137-0xd4244f2ecacdcaf4e877d53670e067855f5a2b2f3eb14393bd730ac65c7c41bd-156,,139436,2015,2021,76.0,,Retired,True,https://polygonscan.com/address/0x00000016F127c94A667Ae3C9fDF0C31c9C79826f,False,TUR,0.9342465753424658,False,HYDRO,HYDRO
2021-08-03,,VCU,2017-01-01,2017-12-31,2017-01-01,2017-12-31,1427,Adiguzel II Hydroelectric Power Plant,Middle East,Turkey,Energy industries (renewable/non-renewable sources),ACM0002,30294,30294,10951-259448039-259478332-VCS-VCU-262-VER-TR-1-1427-01012017-31122017-0,,True,2021-10-18,0xee9930a62fbf85fb443ad3d7410da665ebc90b83,Other,TOUCAN-1.0-137-0xd2038f0350a8f0b5e067f5f92cb7914c57ff0c6263faed19e31789a59a15fd7f-97,,139439,2017,2021,76.0,,Retired,True,https://polygonscan.com/address/0xee9930a62fbf85fb443ad3d7410da665ebc90b83,False,TUR,0.9972602739726028,False,HYDRO,HYDRO
2021-07-29,,VCU,2012-03-13,2012-12-26,2012-03-13,2012-12-26,1578,15 MW Solar Photovoltaic Power Project at Gujarat,Asia,India,Energy industries (renewable/non-renewable sources),AMS-I.D.,18207,1936,10923-257036374-257038309-VCS-VCU-1491-VER-IN-1-1578-13032012-26122012-0,,True,2021-10-18,0xee9930a62fbf85fb443ad3d7410da665ebc90b83,Other,TOUCAN-1.0-137-0x0936651fee3f289fc67bff18e08c322cc0c7624196dd684a1b13d7ac1640e9f2-205,,139107,2012,2021,81.0,,Retired,True,https://polygonscan.com/address/0xee9930a62fbf85fb443ad3d7410da665ebc90b83,False,IND,0.7890410958904109,False,SOLAR,RE
